11	50	0.001032	23	1713	3162
21	50	0.000406	9	350	1584
7	25	0.00094	16	1250	2191
21	50	0.000475	9	350	1584
11	86	0.001754	41	2086	3654
18	77	0.000602	15	514	2072
11	21	0.000333	5	152	1028
8	34	0.000562	15	640	1557
					
21	50	0.00071	9	350	1584
11	50	0.00195	23	1713	3162
17	71	0.00095	31	1579	3616
11	50	0.001036	23	1713	3162
21	50	0.001082	9	350	1584
15	76	0.000836	23	1087	2914
11	50	0.001147	23	1713	3162
11	50	0.001081	23	1713	3162
21	50	0.000425	9	350	1584
23	269	0.005345	113	5948	10048
21	50	0.000946	9	350	1584
0	1	0.000165	0	0	729
0	1	0.000197	0	0	729
0	1	0.000346	0	0	729
0	1	0.00025	0	0	729
11	50	0.001293	23	1713	3162
11	50	0.001922	23	1713	3162
12	62	0.001087	24	1535	3069
15	76	0.000789	23	1087	2914
6	11	0.000448	3	90	867
28	146	0.000832	30	983	3238
10	20	0.000835	11	580	1816
19	37	0.000512	12	400	1583
5	10	0.000268	4	192	1070
12	21	0.000485	7	239	1087
12	47	0.001292	18	932	2254
4	5	0.000204	1	35	773
8	26	0.000774	12	797	1666
7	16	0.000316	4	72	849
12	81	0.001197	38	1919	4453
16	26	0.000348	9	341	1441
3	7	0.000247	3	134	1006
11	26	0.000385	10	403	1295
13	41	0.000975	12	482	1973
2	4	0.000216	1	15	775
4	15	0.000437	8	291	1292
1	2	0.000298	0	0	729
16	41	0.000728	8	417	1288
10	20	0.000273	3	67	1028
17	29	0.00095	8	554	1706
11	52	0.00043	15	446	1782
10	41	0.000845	22	1466	2528
6	19	0.000425	7	281	1472
2	5	0.000206	2	59	878
16	50	0.001406	17	1123	2286
17	106	0.003611	65	4345	6620
5	9	0.000242	2	30	884
13	38	0.000344	12	343	1429
8	9	0.000376	0	0	729
5	19	0.000571	9	594	1684
6	14	0.000396	7	259	1297
18	22	0.000585	6	330	1340
10	22	0.000308	5	180	1109
19	176	0.00123	47	2166	3670
5	6	0.00022	1	15	757
10	30	0.000567	9	196	1154
4	23	0.000716	14	379	1545
10	22	0.000349	5	243	1229
7	9	0.000341	2	206	1047
23	98	0.000757	39	1198	2867
3	4	0.000274	2	36	799
20	69	0.001001	24	1641	2880
27	51	0.000465	9	478	1588
8	23	0.00067	10	780	2076
8	9	0.000221	0	0	729
10	19	0.00059	5	178	1207
9	70	0.000617	25	626	2339
13	103	0.001402	48	2139	4464
4	9	0.000244	3	81	911
2	3	0.000168	0	0	729
7	17	0.000574	5	183	1211
9	15	0.000199	1	15	750
14	29	0.000735	7	408	1504
5	9	0.000435	2	61	857
10	64	0.000815	30	1292	2349
16	38	0.000478	10	595	1611
19	89	0.000576	16	495	2246
12	41	0.000424	14	504	1572
8	19	0.000307	8	160	1062
8	23	0.000334	6	198	1172
14	33	0.000657	13	891	2109
14	36	0.000507	11	548	1649
10	53	0.000649	17	627	1887
5	12	0.000297	5	163	1034
10	23	0.000753	10	427	1417
11	33	0.001053	13	788	2017
13	39	0.000417	14	307	1499
10	46	0.000948	20	766	2027
4	9	0.000346	4	221	969
11	20	0.000232	4	72	979
10	13	0.000267	4	106	883
16	82	0.001154	26	1668	3161
16	57	0.001281	32	1012	2942
6	7	0.000189	0	0	729
9	24	0.000434	7	334	1212
6	9	0.000226	2	54	795
18	290	0.00287	98	5210	8320
9	17	0.000357	5	361	1173
21	190	0.001344	48	1714	4877
12	18	0.000245	4	110	961
9	15	0.000488	4	84	897
2	3	0.000202	0	0	729
4	8	0.000277	1	25	864
8	22	0.000462	8	465	1293
8	16	0.000475	3	101	981
7	9	0.000211	1	22	841
4	5	0.000202	0	0	729
19	82	0.000808	19	1151	2582
